,profundidad,Edad_del_hielo,Edad_del_gas,delta.D,polvo,CO2,CH4,TEMP_?D,tazaTemp,tazaCO2,tazaCH4
84,960,62.5,58.47,-487.73,246.44,204.63,413.71,-63.455,0.337121212121252,2.78313253012049,0.342696629213496
85,970,63.38,59.3,-489.51,437.56,202.32,414.32,-63.7516666666667,-1.87121212121216,3.28571428571426,-0.042510121457492
86,980,64.26,60.14,-479.63,237.5,199.56,414.74,-62.105,0.833333333333344,3.90697674418606,0.705747126436776
87,990,65.13,61,-483.98,126,196.2,417.81,-62.83,-0.109848484848521,3.90697674418603,-13.1034482758612
88,1000,66.01,61.86,-483.4,25,192.84,425.41,-62.7333333333333,-1.04214559386966,0.539325842696617,-1.39705882352941
89,1010,66.88,62.75,-477.96,36,192.36,433.01,-61.8266666666667,1.09883720930232,-0.522222222222222,-0.410934744268074
90,1020,67.74,63.65,-483.63,50.5,192.83,430.68,-62.7716666666667,0.396078431372469,-3.34831460674153,-1.8910891089109
91,1030,68.59,64.54,-485.65,48.5,195.81,426.86,-63.1083333333333,-0.176587301587259,-4.86516853932582,-0.651685393258419
92,1040,69.43,65.43,-484.76,80.29,200.14,427.44,-62.96,-1.49404761904764,-4.80000000000007,-1.82868525896415
93,1050,70.27,66.33,-477.23,41,204.46,441.21,-61.705,-1.6224899598394,-9.39080459770109,-1.7029702970297
94,1060,71.1,67.2,-469.15,36,212.63,454.97,-60.3583333333333,1.45783132530118,-10.7701149425289,-0.786501377410468
95,1070,71.93,68.07,-476.41,31,222,449.26,-61.5683333333333,2.03455284552855,-8.88505747126431,-1.11888111888112
96,1080,72.75,68.94,-486.42,38.54,229.73,438.06,-63.2366666666667,-1.84552845528465,-7.29411764705877,0.498898678414098
97,1090,73.57,69.79,-477.34,55.63,235.93,433.53,-61.7233333333333,0.89837398373987,-7.20930232558139,2.85067873303167
98,1100,74.39,70.65,-481.76,93,242.13,446.13,-62.46,-1.15416666666663,2.55952380952385,-2.27256317689533
99,1110,75.19,71.49,-476.22,100.92,239.98,458.72,-61.5366666666667,-1.84166666666676,4.12941176470583,1.63009049773755
100,1120,75.99,72.34,-467.38,108.83,236.47,444.31,-60.0633333333333,-0.349999999999988,3.06024096385542,14.2261904761904
101,1130,76.79,73.17,-465.7,65.5,233.93,420.41,-59.7833333333333,-0.835443037974697,2.20481927710845,3.79292929292932
102,1140,77.58,74,-461.74,42.5,232.1,405.39,-59.1233333333333,1.08016877637139,2.59036144578314,2.8828125
103,1150,78.37,74.83,-466.86,89,229.95,420.15,-59.9766666666667,-1.0021367521368,5.16049382716045,-3.14498933901919
104,1160,79.15,75.64,-462.17,63.17,225.77,434.9,-59.195,1.00641025641025,5.16049382716049,4.71337579617837
105,1170,79.93,76.45,-466.88,37.33,221.59,457.1,-59.98,-0.958874458874413,2.20987654320986,-5.45823927765235
106,1180,80.7,77.26,-462.45,23.63,219.8,481.28,-59.2416666666667,-1.43073593073598,-0.737499999999971,-3.47352496217852
